City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
237,Thompson,55.7435,-97.8558,-25.44,91,15,2.09,CA,2024-01-03,09:05:50
238,Buta,2.7858,24.73,33.85,27,100,0.46,CD,2024-01-03,09:05:50
239,Laon,49.5667,3.6667,10.39,75,66,9.68,FR,2024-01-03,09:05:50
240,Kristiansund,63.1115,7.732,-2.64,39,0,3.6,NO,2024-01-03,09:05:51
241,Hasaki,35.7333,140.8333,10.22,61,100,1.31,JP,2024-01-03,09:01:02
242,Inhambane,-23.865,35.3833,28.69,53,10,4.79,MZ,2024-01-03,09:03:15
243,Port Angeles,48.1181,-123.4307,7.61,100,0,4.12,US,2024-01-03,09:05:52
244,Labuan,5.2767,115.2417,28.95,74,100,4.82,MY,2024-01-03,09:04:10
245,Coahuayana De Hidalgo,18.7,-103.6583,21.28,66,99,1.47,MX,2024-01-03,09:03:43
246,Saipan,15.1355,145.701,27.93,81,12,5.89,MP,2024-01-03,09:01:23
247,Gaspe,48.8334,-64.4819,-5.36,91,99,1.51,CA,2024-01-03,09:05:53
248,Mpulungu,-8.7623,31.1141,24.86,80,72,1.82,ZM,2024-01-03,09:05:54
249,Waspan,14.7419,-83.9717,21.17,96,73,1.69,NI,2024-01-03,09:05:54
250,Bridgewater,44.3835,-64.5155,-6.32,95,11,1.63,CA,2024-01-03,09:05:54
251,Beaufort West,-32.3567,22.583,28.64,36,0,2.28,ZA,2024-01-03,09:05:55
252,Trairi,-3.2778,-39.2689,25.78,85,100,2.23,BR,2024-01-03,09:05:39
253,Ierapetra,35.01,25.7353,18.41,66,1,3.13,GR,2024-01-03,09:05:55
254,Dalian,38.9122,121.6022,-1.04,59,0,3.0,CN,2024-01-03,08:57:23
255,Bardai,11.65,7.2333,25.22,13,1,5.16,NG,2024-01-03,09:05:56
256,Kone,-21.0595,164.8658,27.0,75,85,1.5,NC,2024-01-03,09:05:56
257,Nar'Yan-Mar,67.6713,53.087,-13.2,90,100,8.37,RU,2024-01-03,09:05:56
258,Labrador City,52.9463,-66.9114,-21.13,99,84,1.45,CA,2024-01-03,09:05:57
259,Maragogi,-9.0122,-35.2225,25.97,83,40,3.33,BR,2024-01-03,09:05:57
260,Happy Valley-Goose Bay,53.3168,-60.3315,-8.8,94,100,1.86,CA,2024-01-03,09:04:47
